id,date,group,from,to,x,z,y,direction,idk,funny
2210,2023-11-23 12:33:46,15,nrf5340,raspi,1613,1356,1669,4,0,fuck IT with a stick
2211,2023-11-23 12:33:47,15,nrf5340,raspi,1606,1362,1664,4,0,fuck IT with a stick
2212,2023-11-23 12:33:49,15,nrf5340,raspi,1611,1352,1672,4,0,fuck IT with a stick
2213,2023-11-23 12:33:51,15,nrf5340,raspi,1616,1360,1663,4,0,fuck IT with a stick
2214,2023-11-23 12:33:53,15,nrf5340,raspi,1615,1365,1666,4,0,fuck IT with a stick
2215,2023-11-23 12:33:55,15,nrf5340,raspi,1607,1363,1660,4,0,fuck IT with a stick
2216,2023-11-23 12:33:57,15,nrf5340,raspi,1617,1354,1667,4,0,fuck IT with a stick
2217,2023-11-23 12:33:59,15,nrf5340,raspi,1613,1358,1665,4,0,fuck IT with a stick
2218,2023-11-23 12:34:01,15,nrf5340,raspi,1612,1366,1669,4,0,fuck IT with a stick
2219,2023-11-23 12:34:02,15,nrf5340,raspi,1620,1365,1665,4,0,fuck IT with a stick
2220,2023-11-23 12:34:04,15,nrf5340,raspi,1609,1364,1665,4,0,fuck IT with a stick
2221,2023-11-23 12:34:06,15,nrf5340,raspi,1618,1362,1673,4,0,fuck IT with a stick
2222,2023-11-23 12:34:08,15,nrf5340,raspi,1616,1355,1669,4,0,fuck IT with a stick
2223,2023-11-23 12:34:10,15,nrf5340,raspi,1609,1356,1661,4,0,fuck IT with a stick
2224,2023-11-23 12:34:12,15,nrf5340,raspi,1616,1364,1668,4,0,fuck IT with a stick
2225,2023-11-23 12:34:14,15,nrf5340,raspi,1614,1365,1664,4,0,fuck IT with a stick
2226,2023-11-23 12:34:15,15,nrf5340,raspi,1613,1357,1665,4,0,fuck IT with a stick
2227,2023-11-23 12:34:17,15,nrf5340,raspi,1613,1369,1669,4,0,fuck IT with a stick
2228,2023-11-23 12:34:19,15,nrf5340,raspi,1617,1364,1672,4,0,fuck IT with a stick
2229,2023-11-23 12:34:21,15,nrf5340,raspi,1617,1363,1671,4,0,fuck IT with a stick
